"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 06 14:29:02 UTC 2020","Mon Jan 06 14:29:02 UTC 2020","14","Surefire suite","Surefire test","SimpleTest","SimpleTest","test_2","test_2",""
"broken","Mon Jan 06 14:29:02 UTC 2020","Mon Jan 06 14:29:02 UTC 2020","39","Surefire suite","Surefire test","EasyTest","EasyTest","test_4","test_4",""
"broken","Mon Jan 06 14:29:01 UTC 2020","Mon Jan 06 14:29:02 UTC 2020","934","Surefire suite","Surefire test","EasyTest","EasyTest","test_3","test_3",""
"broken","Mon Jan 06 14:29:02 UTC 2020","Mon Jan 06 14:29:02 UTC 2020","27","Surefire suite","Surefire test","SimpleTest","SimpleTest","test_1","test_1",""
